"","year","F","M"
"1",2003,0.1543973727422,0.165547941242116
"2",2004,0.149635818337618,0.158059111263046
"3",2005,0.143671630617865,0.151583842390806
"4",2006,0.138086392650883,0.14580874165976
"5",2007,0.131450406816404,0.139626001033054
"6",2008,0.127610803230722,0.135390871520502
"7",2009,0.120987737958133,0.127546486753332
"8",2010,0.116264328005123,0.123249155515779
"9",2011,0.110690857892547,0.116329384856704
"10",2012,0.106995159473018,0.111866253944949
"11",2013,0.102352984006019,0.10688494246759
"12",2014,0.0993389611233526,0.103956742641424
"13",2015,0.0972422879994452,0.102342700403045
"14",2016,0.0914944643385131,0.0967181556271962
"15",2017,0.0861317963618657,0.0928605191885124
"16",2018,0.083333768178711,0.088054198658068
"17",2019,0.079036449690849,0.0846792232336051
